prefix,source_text,target_text,weight,rewards
facttotext,"<type>value<subspace>year of assessment,2017/01/01<measure>number of companies,avg<parameter>6942.18","When year of assessment is 2017/01/01, number of companies has an average value of 6942.18.",1,1
facttotext,"<type>outlier<groupby>manufactures<measure>market share,avg<focus>Volvo Truck<parameter>0.22<data>Freightliner,0.1942857142857143<data>International,0.19357142857142853<data>Kenworth,0.1757142857142857<data>Mack,0.19142857142857145<data>Peterbilt,0.18357142857142858","The average market share among most manufacture is 0.19 for Freightliner, 0.19 for International, 0.18 for Kenworth, 0.19 for Mack, 0.18 for Peterbilt. The average market share of Volvo Truck is 0.22, which deviates from that for other manufacture. ",1,1
facttotext,"<type>categorization<subspace>launch date,2015/12/14<groupby>institution<parameter>MITx","When launch date is 2015/12/14, MITx are among the 1 types of institutions.",1,1
facttotext,"<type>extreme<subspace>year,2014/01/01<groupby>income type<measure>Total income amount,avg<focus>Employment Income<parameter>max,72023682.5<data>Dividends,12130.0<data>Rent,2149524.5<data>Royalties,2989.0<data>Income from Trade and Profession,3922204.5<data>Interest,45767.0<data>Other Types,85476.5","When year is 2014/01/01, among most income types, the average total income amount is 12130.0 for Dividends, 2149524.5 for Rent, 2989.0 for Royalties, 3922204.5 for Income From Trade and Profession, 45767.0 for Interest, 85476.5 for Other Types. Employment Income has the highest average total income amount, which is 72023682.5.",1,1
facttotext,"<type>extreme<subspace>Country,Australia<groupby>Entertainment Source<measure>Percentage of population,avg<focus>Internet<parameter>max,0.2295714285714286<data>Tuvalu,0.21557142857142855<data>Others,0.22142857142857145<data>Newspaper,0.224<data>Radio,0.22414285714285714","When country is Australia, the average percentage of population is 0.22 for Tuvalu, 0.22 for Others, 0.22 for Newspaper, 0.22 for Radio. The average percentage of population of Internet is 0.23, the highest across all entertainment sources.",1,1
facttotext,"<type>rank<subspace>year,2006/01/01<groupby>level<measure>number of lectures,avg<parameter>Primary 1,Primary 2,Secondary 4,Secondary 3,Primary 6,Secondary 2,Secondary 1,Primary 5,Primary 4,Primary 3,PreU 2,PreU 1,Secondary 5,PreU 3,Primary 7,Primary 8<data>Primary 7,0.0<data>Primary 8,0.0<data>PreU 3,14.0<data>Secondary 5,288.0<data>PreU 1,654.0<data>PreU 2,668.0<data>Primary 3,1234.0<data>Primary 4,1300.0<data>Primary 5,1334.0<data>Secondary 1,1340.0<data>Secondary 2,1360.0<data>Primary 6,1395.0<data>Secondary 3,1454.0<data>Secondary 4,1462.0<data>Primary 2,1483.0<data>Primary 1,1489.0","When year is 2006/01/01, among all levels, Primary 1 has the highest average number of lectures at 1489.0, followed by Primary 2 at 1483.0, Secondary 4 at 1462.0, Secondary 3 at 1454.0, Primary 6 at 1395.0.",1,1
facttotext,"<type>trend<subspace>sector,Government Sector<groupby>year<measure>Amount of Equivalence,sum<parameter>increasing<data>2018/01/01,4072.4<data>2010/01/01,2967.1000000000004","When sector is Government Sector, the total amount of equivalence is 4072.4 in 2018/01/01, and in 2010/01/01, it is 2967.1. In general, the total amount of equivalence is increasing over years.",1,1
facttotext,"<type>extreme<subspace>quarter,2018-Q1<groupby>flat_type<measure>Number of resale applications,avg<focus>4-room<parameter>max,1810<data>3-room,1046.0<data>5-room,1111.0<data>1-room,2.0<data>Others,423.0<data>2-room,66.0","When quarter is 2018-Q1, the average number of resale applications is 1046.0 for 3-Room, 1111.0 for 5-Room, 2.0 for 1-Room, 423.0 for Others, 66.0 for 2-Room. The average number of resale applications of 4-Room is 1810, the highest across all flat_types.",1,1
facttotext,"<type>rank<subspace>year,2014/01/01<groupby>Type of Facility<measure>Number of facilities,avg<parameter>General Practioner Clinics,Private Dental Clinics,School Dental Clinics,Private Pharmacies,Public Pharmacies,Polyclinics,Polyclinic Dental Clinics,Hospital/Institution Dental Clinic<data>Hospital/Institution Dental Clinic,6.0<data>Polyclinic Dental Clinics,9.0<data>Polyclinics,18.0<data>Public Pharmacies,63.0<data>Private Pharmacies,190.0<data>School Dental Clinics,233.0<data>Private Dental Clinics,722.0<data>General Practioner Clinics,1868.0","When year is 2014/01/01, among all types of facility, General Practioner Clinics has the highest average number of facilities at 1868.0, followed by Private Dental Clinics at 722.0, School Dental Clinics at 233.0, Private Pharmacies at 190.0, Public Pharmacies at 63.0.",1,1
facttotext,"<type>trend<subspace>Maker,FREIGHT ROVER<groupby>year<measure>number of Goods Vehicles and Buses,avg<parameter>increasing<data>2005/01/01,0.0<data>2017/01/01,nan","When maker is Freight Rover, the average number of goods vehicles and buses has generally increased over years. The average number of goods vehicles and buses is 0.0 in 2005/01/01, and in 2017/01/01, it is nan.",1,1
facttotext,"<type>trend<subspace>level,Primary 2<groupby>year<measure>number of lectures,avg<parameter>increasing<data>1998/01/01,1335.0<data>2019/01/01,1296.0","When level is Primary 2, the average number of lectures is 1335.0 in 1998/01/01, and in 2019/01/01, it is 1296.0. In general, the average number of lectures is increasing over years.",1,1
facttotext,"<type>proportion<subspace>Year,2008/01/01<groupby>Gender<measure>Number of graduates,sum<focus>Females<parameter>51.27%","When year is 2008/01/01, Females accounts for 51.27% of the total number of graduates.",1,1
facttotext,"<type>outlier<subspace>financial year,2012/01/01<groupby>instrument type<measure>stamp duty assessed,avg<focus>Sale & Purchase Agreement<parameter>3515639.0<data>Lease Agreement,755594.0<data>Mortgage Agreement,43711.0<data>Share Transfer,65968.0<data>Others,1395.0","When financial year is 2012/01/01, the average stamp duty assessed for most instrument types is 755594.0 for Lease Agreement, 43711.0 for Mortgage Agreement, 65968.0 for Share Transfer, 1395.0 for Others. The average stamp duty assessed of Sale & Purchase Agreement is 3515639.0, which is an aberration in comparison to other instrument types.",1,1
facttotext,"<type>distribution<subspace>year,2013/01/01<groupby>return type<measure>number of returns,avg<parameter><data>Returns Issued,1086838.0<data>Returns Received,1075518.5<data>Returns Received on Time,1028293.0<data>Internet Filing (by individuals),900246.0<data>No-Filing Service,901573.0","When year is 2013/01/01, the total number of returns is unevenly distributed across all return types. More specifically, the total number of returns is 1086838.0 for Returns Issued, 1075518.5 for Returns Received, 1028293.0 for Returns Received on Time, 900246.0 for Internet Filing (By Individuals), 901573.0 for No-Filing Service.",1,1
facttotext,"<type>proportion<groupby>quarter<measure>Number of resale applications,sum<focus>2009-Q3<parameter>3.36%",3.36% of the total number of resale applications come from 2009-Q3.,1,1
facttotext,"<type>difference<subspace>state,Illinois<groupby>candidates<measure>votes,avg<focus>Biden<focus>Riva<parameter>35175.02<data>Biden,35253.41747572816<data>Riva,78.39805825242719","When state is Illinois, the average votes of Riva is 78.4, 35175.02 lower than Biden__ 35253.42.",1,1
facttotext,"<type>trend<subspace>location,Henan<groupby>broken year<measure>survival time,avg<parameter>no trend<data>2019/01/01,547.0<data>2010/01/01,nan","When location is Henan, the average survival time has generally decreased over broken years. The average survival time is 547.0 in 2019/01/01, and in 2010/01/01, it is nan.",1,1
facttotext,"<type>trend<subspace>location,Shanghai<groupby>broken year<measure>survival time,avg<parameter>increasing<data>2019/01/01,1896.4545454545455<data>2010/01/01,1088.5","When location is Shanghai, the average survival time is 1896.45 in 2019/01/01, and in 2010/01/01, it is 1088.5. In general, the average survival time is increasing over broken years.",1,1
facttotext,"<type>outlier<subspace>year,2015/01/01<groupby>income type<measure>Total income amount,avg<focus>Employment Income<parameter>77728232.0<data>Dividends,10918.5<data>Income from Trade and Profession,4084885.0<data>Interest,35740.0<data>Other Types,82437.0<data>Royalties,2676.5<data>Rent,2345303.0","When year is 2015/01/01, the average total income amount among most income types is 10918.5 for Dividends, 4084885.0 for Income From Trade and Profession, 35740.0 for Interest, 82437.0 for Other Types, 2676.5 for Royalties, 2345303.0 for Rent. The average total income amount of Employment Income is 77728232.0, which deviates from that for other income types. ",1,1
facttotext,"<type>distribution<subspace>month,Jul-18<groupby>broadband_connections<measure>number of subscriptions,avg<parameter><data>DSL,11600.0<data>Cable Modem,150800.0<data>Fibre Based,1186500.0","When month is Jul-18, the distribution of total number of subscriptions is uneven across all broadband_connection. More specifically, the total number of subscriptions is 11600.0 for DSL, 150800.0 for Cable Modem, 1186500.0 for Fibre Based.",1,1
facttotext,"<type>categorization<subspace>year,2012/01/01<groupby>tax group<parameter>Non-Taxable Group,Taxable Group","When year is 2012/01/01, Non-Taxable Group, Taxable Group are among the 2 types of tax groups.",1,1
facttotext,"<type>proportion<subspace>year,2019/01/01<groupby>town<measure>number of cases,sum<focus>Jurong<parameter>20.61%","When year is 2019/01/01, Jurong accounts for 20.61% of the total number of cases.",1,1
facttotext,"<type>proportion<subspace>financial year,2004/01/01<groupby>ministry<measure>number of new hires,sum<focus>Education<parameter>48.38%","When financial year is 2004/01/01, 48.38% of the total number of new hires come from Education.",1,1
facttotext,"<type>difference<subspace>launch date,2015/10/27<groupby>institution<measure>Median Age,avg<focus>HarvardX<focus>MITx<parameter>1.1<data>HarvardX,29.6<data>MITx,28.5","When launch date is 2015/10/27, the average median age is 28.5 for MITx, which is 1.1 lower than the 29.6 for HarvardX.",1,1
facttotext,"<type>proportion<subspace>year,2004/01/01<groupby>age group<measure>number of teachers,sum<focus>25 - 29<parameter>25.22%","When year is 2004/01/01, 25 - 29 makes up 25.22% of the total number of teachers.",1,1
facttotext,"<type>extreme<subspace>Year,2002/01/01<groupby>Energy source<measure>Cost,avg<focus>Petroleum<parameter>max,9.174999999999999<data>Nuclear,2.18<data>Coal,2.5650000000000004<data>Gas,7.4875","When year is 2002/01/01, among most energy sources, the average cost is 2.18 for Nuclear, 2.57 for Coal, 7.49 for Gas. Petroleum has the highest average cost, which is 9.17.",1,1
facttotext,"<type>rank<subspace>year,2010/01/01<groupby>age year<measure>Number of Motorcycles,avg<parameter>8 - 9,7 - 8,20,5 - 6,6 - 7,4 - 5,9 - 10,2 - 3,3 - 4,1 - 2,0 - 1,10 - 11,11 - 12,12 - 13,13 - 14,14 - 15,16 - 17,17 - 18,15 - 16,18 - 19,19 - 20<data>19 - 20,851.0<data>18 - 19,920.0<data>15 - 16,1174.0<data>17 - 18,1706.0<data>16 - 17,2068.0<data>14 - 15,2140.0<data>13 - 14,2779.0<data>12 - 13,3875.0<data>11 - 12,4648.0<data>10 - 11,5958.0<data>0 - 1,8228.0<data>1 - 2,8744.0<data>3 - 4,9973.0<data>2 - 3,10139.0<data>9 - 10,10391.0<data>4 - 5,10846.0<data>6 - 7,11092.0<data>5 - 6,11317.0<data>20,11921.0<data>7 - 8,13529.0<data>8 - 9,14983.0","When year is 2010/01/01, among all age years, 8 - 9 has the highest average number of motorcycles at 14983.0, followed by 7 - 8 at 13529.0, 20 at 11921.0, 5 - 6 at 11317.0, 6 - 7 at 11092.0.",1,1
facttotext,"<type>outlier<groupby>type of hdb<measure>property tax collection,sum<focus>4 Room<parameter>518815.0<data>1 or 2 Room,3456<data>3 Room,199939<data>5 Room,414270<data>Executive & Others,132020","The total property tax collection among most types of hdb is 3456 for 1 or 2 Room, 199939 for 3 Room, 414270 for 5 Room, 132020 for Executive & Others. Of 4 Room, the total property tax collection is 518815.0, which is an outlier compared to other types of hdb.",1,1
facttotext,"<type>outlier<subspace>vehicle maker,JEEP<groupby>Fuel Type<measure>Engine Size,avg<focus>Premium gasoline<parameter>6.35<data>Diesel,3.0<data>Regular gasoline,2.7875<data>Ethanol,2.5199999999999996","When vehicle maker is Jeep, the average engine size among most fuel types is 3.0 for Diesel, 2.79 for Regular Gasoline, 2.52 for Ethanol. Of Premium Gasoline, the average engine size is 6.35, which is an outlier compared to other fuel types.",1,1
facttotext,"<type>rank<subspace>year,2017/01/01<groupby>type<measure>number of care facilities,avg<parameter>Nursing Homes,Inpatient Hospices<data>Inpatient Hospices,0.6666666666666666<data>Nursing Homes,24.333333333333332","When year is 2017/01/01, among all types, Nursing Homes has the highest average number of care facilities at 24.33, followed by Inpatient Hospices at 0.67.",1,1
facttotext,"<type>outlier<subspace>month,Jul-16<groupby>broadband_connections<measure>number of subscriptions,avg<focus>Fibre Based<parameter>981100.0<data>DSL,73300.0<data>Cable Modem,290300.0","When month is Jul-16, the average number of subscriptions for most broadband_connection is 73300.0 for DSL, 290300.0 for Cable Modem. The average number of subscriptions of Fibre Based is 981100.0, which is an aberration in comparison to other broadband_connection.",1,1
facttotext,"<type>difference<subspace>network access technology,4G<groupby>date<measure>number of subscriptions,avg<focus>5/1/20<focus>3/1/13<parameter>3025300<data>5/1/20,3906400.0<data>3/1/13,881100.0","When network access technology is 4g, the average number of subscriptions is 881100.0 for 3/1/13, which is 3025300 lower than the 3906400.0 for 5/1/20.",1,1
facttotext,"<type>trend<subspace>economic sector,Others<groupby>year of assessment<measure>number of companies,avg<parameter>increasing<data>2008/01/01,2748.0<data>2019/01/01,7077.0","When economic sector is Others, the average number of companies is 2748.0 in 2008/01/01 and 7077.0 in 2019/01/01. In general, the average number of companies is increasing over years of assessment.",1,1
facttotext,"<type>value<subspace>type of expenditure,Development<measure>amount spent,sum<parameter>306654.0","When type of expenditure is Development, the total amount spent is 306654.0.",1,1
facttotext,"<type>value<subspace>subsector,Financial and Insurance Activities<measure>electric energy consumption,avg<parameter>2078.48","When subsector is Financial and Insurance Activities, the average electric energy consumption is 2078.48.",1,1
facttotext,"<type>outlier<subspace>year,2009/01/01<groupby>sector<measure>electric energy consumption,avg<focus>Households<parameter>6430.8<data>Industry-Related,3892.5648423599996<data>Commercial-Related,2114.2949017714286<data>Transport-Related,1607.81<data>Others,413.9405639","When year is 2009/01/01, the average electric energy consumption among most sectors is 3892.56 for Industry-Related, 2114.29 for Commercial-Related, 1607.81 for Transport-Related, 413.94 for Others. Of Households, the average electric energy consumption is 6430.8, which is an outlier compared to other sectors.",1,1
facttotext,"<type>outlier<subspace>Country,UK<groupby>Year<measure>Number of Departures,avg<focus>2015/01/01<parameter>35640.08<data>2013/01/01,34835.230769230766<data>2014/01/01,34112.692307692305","When country is Uk, the average number of departures over most years is 34835.23 in 2013/01/01, 34112.69 in 2014/01/01. In 2015/01/01, the average number of departures is 35640.08, which is an outlier compared to other years.",1,1
facttotext,"<type>outlier<subspace>Year,2007/01/01<groupby>weekend activity<measure>percentage,avg<focus>Internet<parameter>0.22<data>Tuvalu,0.18<data>Newspapers,0.14<data>Outdoor/transport,0.15<data>Magazines,0.2<data>Cinema,0.17","When year is 2007/01/01, the average percentage for most weekend activities is 0.18 for Tuvalu, 0.14 for Newspapers, 0.15 for Outdoor/Transport, 0.2 for Magazines, 0.17 for Cinema. The average percentage of Internet is 0.22, which is an aberration in comparison to other weekend activities.",1,1
facttotext,"<type>distribution<subspace>year,2012/01/01<groupby>type of expenditure<measure>R&D expenditure,sum<parameter><data>Capital Expenditure,1141.2400000000002<data>Manpower Expenditure,3307.1200000000003<data>Other Operating Expenditure,2629.79","When year is 2012/01/01, the total r&d expenditure is unevenly distributed across all types of expenditure. More specifically, the total r&d expenditure is 1141.24 for Capital Expenditure, 3307.12 for Manpower Expenditure, 2629.79 for Other Operating Expenditure.",1,1
facttotext,"<type>outlier<subspace>year,2018/01/01<groupby>gender<measure>death_count,avg<focus>Male<parameter>331.49<data>Female,276.54285714285714<data>U,1.0","When year is 2018/01/01, the average death_count among most genders is 276.54 for Female, 1.0 for U. Of Male, the average death_count is 331.49, which is an outlier compared to other genders.",1,1
facttotext,"<type>difference<subspace>course,Commerce<groupby>level<measure>enrollment,avg<focus>Junior College 1<focus>Pre-University 3<parameter>294.94<data>Junior College 1,566.8815789473684<data>Pre-University 3,271.9375","When course is Commerce, the average enrollment is 271.94 for Pre-University 3, which is 294.94 lower than the 566.88 for Junior College 1.",1,1
facttotext,"<type>value<subspace>year,2005/01/01<measure>tax_arrears,sum<parameter>925017.0","When year is 2005/01/01, the total value of tax_arrears is 925017.0.",1,1
facttotext,"<type>outlier<subspace>flat_type,EXEC<groupby>quarter<measure>Number of resale applications,avg<focus>2020-Q4<parameter>660.0<data>2019-Q2,471.0<data>2019-Q3,484.0<data>2019-Q4,457.0<data>2020-Q3,630.0","When flat_type is Exec, the average number of resale applications for most quarters is 471.0 for 2019-Q2, 484.0 for 2019-Q3, 457.0 for 2019-Q4, 630.0 for 2020-Q3. The average number of resale applications of 2020-Q4 is 660.0, which is an aberration in comparison to other quarters.",1,1
facttotext,"<type>categorization<subspace>location,Jiangsu<groupby>funded status<parameter>Angel Round,No Funding,Pre-A Round,Series A,Series B,Series C,Strategic","When location is Jiangsu, Angel Round, No Funding, Pre-a Round, Series A, Series B, Series C, Strategic are among the 7 types of funded statuses.",1,1
facttotext,"<type>distribution<subspace>Epi week,2012-W52<groupby>type of disease<measure>number of cases,avg<parameter><data>Acute Upper Respiratory Tract infections,2812.0<data>Acute Conjunctivitis,113.0<data>Acute Diarrhoea,473.0<data>Chickenpox,14.0","When epi week is 2012-W52, the total number of cases is unevenly distributed across all types of disease. More specifically, the total number of cases is 2812.0 for Acute Upper Respiratory Tract Infections, 113.0 for Acute Conjunctivitis, 473.0 for Acute Diarrhoea, 14.0 for Chickenpox.",1,1
facttotext,"<type>difference<subspace>year,2003/01/01<groupby>Ethnic Group of Grooms and Brides<measure>number of Marriages,avg<focus>Total Brides<focus>Other Brides<parameter>364.8<data>Total Brides,387.1<data>Other Brides,22.3","When year is 2003/01/01, the average number of marriages is 22.3 for Other Brides, which is 364.8 lower than the 387.1 for Total Brides.",1,1
facttotext,"<type>outlier<subspace>Motor Type,Other non-life<groupby>Year<measure>Sales,avg<focus>2015/01/01<parameter>19840.0<data>2016/01/01,15600.0<data>2017/01/01,13845.0<data>2018/01/01,18140.0<data>2019/01/01,13741.0<data>2020/01/01,11339.0","When motor type is Other Non-Life, the average sales for most years is 15600.0 in 2016/01/01, 13845.0 in 2017/01/01, 18140.0 in 2018/01/01, 13741.0 in 2019/01/01, 11339.0 in 2020/01/01. The average sales in 2015/01/01 is 19840.0, which is an aberration in comparison to other years.",1,1
facttotext,"<type>difference<subspace>month,Dec-16<groupby>broadband_connections<measure>number of subscriptions,avg<focus>Fibre Based<focus>DSL<parameter>995400<data>Fibre Based,1043700.0<data>DSL,48300.0","When month is Dec-16, the average number of subscriptions of DSL is 48300.0, which is 995400 lower than the Fibre Based average of 1043700.0.",1,1
facttotext,"<type>categorization<subspace>year,2014/01/01<groupby>age year<parameter>0 - 1,1 - 2,10 - 11,11 - 12,12 - 13,13 - 14,14 - 15,15 - 16,16 - 17,17 - 18,18 - 19,19 - 20,2 - 3,20,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10","When year is 2014/01/01, 0 - 1, 1 - 2, 10 - 11, 11 - 12, 12 - 13, 13 - 14, 14 - 15, 15 - 16, 16 - 17, 17 - 18, 18 - 19, 19 - 20, 2 - 3, 20, 3 - 4, 4 - 5, 5 - 6, 6 - 7, 7 - 8, 8 - 9, 9 - 10 are among the 21 types of age years.",1,1
facttotext,"<type>trend<subspace>make,Kymco<groupby>year<measure>number of New Registrations,avg<parameter>increasing<data>2005/01/01,116.0<data>2017/01/01,157.0","When make is Kymco, the average number of new registrations is 116.0 in 2005/01/01, and in 2017/01/01, it is 157.0. In general, the average number of new registrations is increasing over years.",1,1
facttotext,"<type>trend<subspace>Country,Czech Republic<groupby>Year<measure>Gold,avg<parameter>increasing<data>2000/01/01,2.0<data>2016/01/01,20.0","When country is Czech Republic, the average gold is 2.0 in 2000/01/01, and in 2016/01/01, it is 20.0. In general, the average gold is increasing over years.",1,1
facttotext,"<type>proportion<subspace>age group,70 - 79<groupby>marital status<measure>death_count,sum<focus>MARRIED<parameter>56.51%","When age group is 70 - 79, Married accounts for 56.51% of the total death_count.",1,1
facttotext,"<type>difference<subspace>Weight,2.56kg<groupby>Product<measure>screen size,avg<focus>Inspiron 5577<focus>Inspiron 5577<parameter>0<data>Inspiron 5577,15.6<data>Inspiron 5577,15.6","When weight is 2.56kg, the average screen size of Inspiron 5577 is 15.6, which is 0 higher than the Inspiron 5577 average of 15.6.",1,1
facttotext,"<type>rank<groupby>industry<measure>average absent per employee,min<parameter>manufacturing,services,construction<data>construction,0.3<data>services,0.4<data>manufacturing,0.5","The 3 industries with the highest minimum average absent per employee are Manufacturing at 0.5, Services at 0.4, Construction at 0.3.",1,1
facttotext,"<type>proportion<subspace>year,1995/01/01<groupby>gender<measure>number of newborns,sum<focus>Males<parameter>52.01%","When year is 1995/01/01, Males makes up 52.01% of the total number of newborns.",1,1
facttotext,"<type>rank<subspace>Epi week,2012-W40<groupby>type of disease<measure>number of cases,avg<parameter>Acute Upper Respiratory Tract infections,Acute Diarrhoea,Acute Conjunctivitis,Chickenpox<data>Chickenpox,13.0<data>Acute Conjunctivitis,88.0<data>Acute Diarrhoea,520.0<data>Acute Upper Respiratory Tract infections,2575.0","When epi week is 2012-W40, among all types of disease, Acute Upper Respiratory Tract Infections has the highest average number of cases at 2575.0, followed by Acute Diarrhoea at 520.0, Acute Conjunctivitis at 88.0.",1,1
facttotext,"<type>difference<groupby>Road user group<measure>Number of accidents,avg<focus>Drivers, Riders or Cyclists<focus>Pedestrians<parameter>255.83<data>Drivers, Riders or Cyclists,276.987012987013<data>Pedestrians,21.15909090909091","The average number of accidents is 21.16 for Pedestrians, which is 255.83 lower than the 276.99 for Drivers, Riders or Cyclists.",1,1
facttotext,"<type>distribution<subspace>year,2005/01/01<groupby>level of school<measure>number of teachers,avg<parameter><data>PRIMARY,881.6428571428571<data>SECONDARY,821.0714285714286<data>PRE-UNIVERSITY,181.71428571428572","When year is 2005/01/01, the total number of teachers is 881.64 for Primary, 821.07 for Secondary, 181.71 for Pre-University. The total number of teachers of each level of school is unequal across the board.",1,1
facttotext,"<type>distribution<subspace>month,Apr-18<groupby>broadband_connections<measure>number of subscriptions,avg<parameter><data>DSL,15400.0<data>Cable Modem,165300.0<data>Fibre Based,1164300.0","When month is Apr-18, the total number of subscriptions is 15400.0 for DSL, 165300.0 for Cable Modem, 1164300.0 for Fibre Based. The total number of subscriptions of each broadband_connections is unequal across the board.",1,1
facttotext,"<type>difference<subspace>State,Maine<groupby>vehicle category<measure>Volumes,sum<focus>Trucks<focus>Buses<parameter>647010<data>Trucks,651349<data>Buses,4339","When state is Maine, the total volumes is 4339 for Buses, which is 647010 lower than the 651349 for Trucks.",1,1
facttotext,"<type>value<subspace>Year,1995/01/01<measure>Number of graduates,avg<parameter>330.25","When year is 1995/01/01, number of graduates has an average value of 330.25.",1,1
facttotext,"<type>value<subspace>year,2013/01/01<measure>rate,avg<parameter>0.21","When year is 2013/01/01, the average rate is 0.21.",1,1
facttotext,"<type>trend<subspace>Type of manpower,Technicians<groupby>year<measure>Amount of Equivalence,sum<parameter>decreasing<data>2018/01/01,1905.3000000000002<data>2010/01/01,2341.5","When type of manpower is Technicians, the total amount of equivalence has generally decreased over years. The total amount of equivalence is 1905.3 in 2018/01/01, and in 2010/01/01, it is 2341.5.",1,1
facttotext,"<type>rank<subspace>Year,2016/01/01<groupby>Confectionery product<measure>Sales,avg<parameter>Chocolate,Fillings,Biscuits,Sugar confectionery,Aerated confections<data>Aerated confections,212.0<data>Sugar confectionery,1054.0<data>Biscuits,1117.0<data>Fillings,3677.0<data>Chocolate,6817.0","When year is 2016/01/01, the 3 confectionery products with the highest average sales are Chocolate at 6817.0, Fillings at 3677.0, Biscuits at 1117.0.",1,1
facttotext,"<type>categorization<subspace>calendar_year,2019/01/01<groupby>type of stamp duty<parameter>Additional Buyer's Stamp Duty,Buyer's Stamp Duty,Seller's Stamp Duty","When calendar_year is 2019/01/01, Additional Buyer's Stamp Duty, Buyer's Stamp Duty, Seller's Stamp Duty are among the 3 types of types of stamp duty.",1,1
